participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,6xsjuoim,,0,3,10,consent_start2_copy,1,Proceed,10.41.215.197,2017-08-17 00:11:51.269523+00:00,0,1,,,0,1,0,1,1,cmvn8znk,,,,,,1
2,smwqm8h9,,0,0,10,,,,,,0,0,,,0,2,0,1,1,cmvn8znk,,,,,,1
1,6aqdcx9o,,0,3,10,consent_start2_copy,1,Proceed,10.45.50.47,2017-08-17 01:05:27.374920+00:00,0,1,,,0,1,0,1,1,psdrqnq2,,,,,,1
2,mpc5affa,,0,3,10,consent_start2_copy,1,Proceed,10.45.50.47,2017-08-17 01:05:49.724837+00:00,0,1,,,0,2,0,1,1,psdrqnq2,,,,,,1
1,f2lie4fd,,0,4,10,ultimatum_customer_vignette,1,WaitToStart,10.45.50.47,2017-08-17 01:05:38.679024+00:00,0,1,,,0,1,0,1,1,ffyxe4j6,,,,,,1
2,gmm6gurb,,0,0,10,,,,,,0,0,,,0,2,0,1,1,ffyxe4j6,,,,,,1
1,jrvc83sa,,0,11,10,ultimatum_banker_vignette,1,Validation,10.71.208.122,2017-08-17 01:09:06.955694+00:00,0,1,A2OIGST8UL7HJP,3NC5L260MP1PWEYBD0ECAT4XNVDOF4,0,1,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
2,603x51nb,,0,10,10,ultimatum_banker_vignette,1,Validation,10.41.203.70,2017-08-17 01:09:09.669131+00:00,0,1,A2OWFD7J4MRGKM,30BUDKLTXEABIQSXDAY7J5J6UZTE57,5,2,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
3,pxsgetgp,,0,11,10,ultimatum_banker_vignette,1,Validation,10.154.148.197,2017-08-17 01:09:10.948315+00:00,0,1,A2WGW5Y3ZFBDEC,3PXX5PX6LYDAHTSUYFNYQ8T7JGHBAA,0,3,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
4,d8dlmjju,,0,9,10,ultimatum_banker_vignette,1,Results,10.179.55.98,2017-08-17 01:09:12.073513+00:00,0,1,ACI1OFQTEMUV0,3AMYWKA6YC1TDL50C7B8GNRKUWA6OJ,93,4,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
5,9uz10eu3,,0,11,10,ultimatum_banker_vignette,1,Validation,10.109.163.176,2017-08-17 01:09:19.884718+00:00,0,1,A3L2UB07EZJAMD,3M68NM076IMWAYXG4ZSCAIWP5JU6RS,50,5,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
6,8d7tjgd9,,0,11,10,ultimatum_banker_vignette,1,Validation,10.231.231.232,2017-08-17 01:09:19.541852+00:00,0,1,A30MP4LXV4MIFD,3P1L2B7AD24BW687ZBHA569HKRZLO6,0,6,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
7,1unswzzv,,0,9,10,ultimatum_banker_vignette,1,Results,10.150.98.212,2017-08-17 01:09:19.896521+00:00,0,1,A5ET25WTBJC0J,3M68NM076IMWAYXG4ZSCAIWP5JUR6D,18,7,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
8,8c1fk5ei,,0,11,10,ultimatum_banker_vignette,1,Validation,10.69.198.55,2017-08-17 01:09:22.612335+00:00,0,1,A27W025UEXS1G0,3B1NLC6UG0BDVE673KX9HE9ZYF9GPC,30,8,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
9,z7rsvnv1,,0,11,10,ultimatum_banker_vignette,1,Validation,10.150.98.212,2017-08-17 01:09:23.389419+00:00,0,1,A3IR7DFEKLLLO,3WT783CTPCWYA8PSITJPW3JVJJ2BCC,0,9,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
10,9ritgydn,,0,11,10,ultimatum_banker_vignette,1,Validation,10.30.24.121,2017-08-17 01:09:56.596312+00:00,0,1,A2ZA3X3DBEMBCD,3N8OEVH1FS5J2RB4C3X2XNDBFW4OOQ,98,10,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
11,e3zsluft,,0,11,10,ultimatum_banker_vignette,1,Validation,10.16.227.159,2017-08-17 01:09:56.199154+00:00,0,1,A1YXQDZYCKILTT,308XBLVESJJ2GAEB0Q9KLYIHJK5RBY,50,11,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
12,1gbh7vwc,,0,11,10,ultimatum_banker_vignette,1,Validation,10.168.65.231,2017-08-17 01:09:57.527459+00:00,0,1,A3QRZPJT2CT2IK,3VSOLARPKCOR9FECRGUSCUKBP6M932,2,12,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
13,0qi23kn9,,0,10,10,ultimatum_banker_vignette,1,Validation,10.41.203.70,2017-08-17 01:10:02.280170+00:00,0,1,AZIAQJWXTSFUX,3KB8R4ZV1FMBRK5XKFF8MU4AHBUBGM,82,13,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
14,siozwffa,,0,3,10,consent_start2_copy,1,Proceed,10.157.112.148,2017-08-17 01:10:13.287707+00:00,0,1,A1B0SWHFLJ4HI,386PBUZZXGCXVVHAJYP5XASVLXPJLL,0,14,0,1,1,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
